w,x,y,z
2.390718,1.383263,9.000082,175.523960
2.355002,1.387834,8.120955,87.786858
2.322353,1.393489,7.348257,43.919404
2.292348,1.400039,6.669326,21.986975
2.264632,1.407319,6.072999,11.022283
2.238904,1.415188,5.549435,5.541701
2.214910,1.423529,5.089957,2.803430
2.192438,1.432239,4.686918,1.436581
2.171306,1.441233,4.333577,0.755707
2.151364,1.450440,4.023995,0.418076
2.132481,1.459798,3.752936,0.252304
2.114550,1.469256,3.515785,0.172669
2.097478,1.478772,3.308479,0.136273
2.081185,1.488311,3.127435,0.121620
2.065603,1.497841,2.969497,0.117913
2.050675,1.507339,2.831885,0.119698
2.036349,1.516784,2.712151,0.124197
2.022583,1.526158,2.608137,0.129970
2.009337,1.535448,2.517943,0.136251
1.996579,1.544642,2.439895,0.142621
1.984279,1.553730,2.372519,0.148839
1.972410,1.562706,2.314518,0.154762
1.960949,1.571561,2.264749,0.160304
1.949876,1.580292,2.222205,0.165414
1.939170,1.588895,2.186000,0.170068
1.928815,1.597366,2.155354,0.174255
1.918794,1.605702,2.129580,0.177980
1.909094,1.613903,2.108074,0.181256
1.899700,1.621967,2.090304,0.184104
1.890601,1.629893,2.075801,0.186548
1.881784,1.637681,2.064153,0.188619
1.873240,1.645330,2.054997,0.190344
1.864957,1.652841,2.048015,0.191756
1.856926,1.660215,2.042925,0.192885
1.849138,1.667451,2.039481,0.193759
1.841585,1.674551,2.037465,0.194407
1.834258,1.681516,2.036687,0.194854
1.827150,1.688346,2.036979,0.195126
1.820253,1.695043,2.038193,0.195244
1.813561,1.701608,2.040199,0.195228
1.807066,1.708042,2.042883,0.195097
1.800763,1.714347,2.046146,0.194868
1.794645,1.720524,2.049900,0.194554
1.788705,1.726575,2.054067,0.194169
1.782940,1.732501,2.058581,0.193725
1.777342,1.738304,2.063381,0.193231
1.771907,1.743985,2.068417,0.192697
1.766630,1.749546,2.073641,0.192130
1.761506,1.754989,2.079016,0.191537
1.756530,1.760316,2.084506,0.190924
1.751698,1.765527,2.090080,0.190296
1.747005,1.770625,2.095713,0.189658
1.742447,1.775612,2.101382,0.189013
1.738020,1.780489,2.107066,0.188364
1.733720,1.785259,2.112748,0.187715
1.729544,1.789922,2.118413,0.187068
1.725487,1.794480,2.124048,0.186425
1.721546,1.798936,2.129643,0.185787
1.717718,1.803291,2.135187,0.185156
1.713999,1.807547,2.140672,0.184533
1.710386,1.811706,2.146092,0.183919
1.706876,1.815768,2.151441,0.183315
1.703466,1.819737,2.156713,0.182722
1.700153,1.823614,2.161905,0.182140
1.696934,1.827400,2.167014,0.181569
1.693806,1.831097,2.172036,0.181010
1.690768,1.834707,2.176970,0.180463
1.687815,1.838232,2.181814,0.179927
1.684946,1.841672,2.186567,0.179404
1.682158,1.845031,2.191228,0.178894
1.679450,1.848309,2.195796,0.178395
1.676818,1.851509,2.200272,0.177908
1.674260,1.854631,2.204655,0.177433
1.671774,1.857677,2.208946,0.176970
1.669359,1.860649,2.213146,0.176519
1.667012,1.863549,2.217254,0.176079
1.664731,1.866377,2.221272,0.175650
1.662515,1.869136,2.225200,0.175233
1.660360,1.871827,2.229040,0.174826
1.658267,1.874452,2.232793,0.174430
1.656233,1.877011,2.236460,0.174045
1.654255,1.879506,2.240042,0.173670
1.652334,1.881939,2.243540,0.173304
1.650466,1.884311,2.246956,0.172949
1.648651,1.886624,2.250291,0.172603
1.646888,1.888878,2.253547,0.172267
1.645173,1.891075,2.256725,0.171939
1.643507,1.893217,2.259826,0.171621
1.641888,1.895304,2.262851,0.171311
1.640314,1.897338,2.265804,0.171010
1.638784,1.899320,2.268683,0.170717
1.637297,1.901252,2.271492,0.170431
1.635852,1.903134,2.274232,0.170154
1.634447,1.904967,2.276903,0.169885
1.633082,1.906753,2.279508,0.169622
1.631755,1.908494,2.282048,0.169367
1.630465,1.910189,2.284525,0.169119
1.629212,1.911840,2.286939,0.168878
1.627993,1.913449,2.289292,0.168644
1.626809,1.915015,2.291585,0.168416
1.625658,1.916541,2.293820,0.168194
1.624539,1.918027,2.295998,0.167978
1.623451,1.919474,2.298121,0.167769
1.622394,1.920883,2.300189,0.167565
1.621366,1.922256,2.302204,0.167367
1.620367,1.923592,2.304168,0.167174
1.619397,1.924893,2.306080,0.166987
1.618453,1.926160,2.307943,0.166804
1.617535,1.927393,2.309758,0.166627
1.616644,1.928593,2.311526,0.166455
1.615777,1.929762,2.313248,0.166288
1.614934,1.930900,2.314925,0.166125
1.614115,1.932008,2.316558,0.165967
1.613319,1.933086,2.318148,0.165813
1.612545,1.934136,2.319697,0.165663
1.611793,1.935157,2.321205,0.165518
1.611062,1.936151,2.322674,0.165376
1.610351,1.937119,2.324103,0.165239
1.609660,1.938061,2.325495,0.165105
1.608988,1.938978,2.326851,0.164975
1.608336,1.939870,2.328170,0.164849
1.607701,1.940738,2.329454,0.164726
1.607084,1.941583,2.330705,0.164607
1.606484,1.942405,2.331922,0.164491
1.605901,1.943205,2.333107,0.164378
1.605334,1.943983,2.334260,0.164268
1.604784,1.944741,2.335382,0.164161
1.604248,1.945478,2.336475,0.164058
1.603727,1.946195,2.337538,0.163957
1.603221,1.946893,2.338573,0.163859
1.602729,1.947572,2.339580,0.163763
1.602251,1.948232,2.340560,0.163671
1.601786,1.948875,2.341514,0.163581
1.601334,1.949500,2.342442,0.163493
1.600895,1.950108,2.343345,0.163408
1.600468,1.950700,2.344224,0.163325
1.600053,1.951275,2.345079,0.163245
1.599649,1.951835,2.345911,0.163167
1.599257,1.952380,2.346721,0.163091
1.598876,1.952910,2.347509,0.163017
1.598505,1.953426,2.348275,0.162945
1.598145,1.953927,2.349021,0.162875
1.597794,1.954415,2.349746,0.162807
1.597454,1.954889,2.350452,0.162741
1.597123,1.955351,2.351139,0.162677
1.596801,1.955800,2.351807,0.162614
1.596488,1.956236,2.352457,0.162553
1.596184,1.956661,2.353089,0.162494
1.595888,1.957074,2.353704,0.162437
1.595601,1.957476,2.354303,0.162381
1.595321,1.957867,2.354885,0.162327
1.595049,1.958247,2.355451,0.162274
1.594785,1.958616,2.356002,0.162223
1.594529,1.958976,2.356537,0.162173
1.594279,1.959326,2.357058,0.162125
1.594036,1.959666,2.357565,0.162078
1.593801,1.959996,2.358058,0.162032
1.593571,1.960318,2.358538,0.161988
1.593348,1.960631,2.359004,0.161944
1.593132,1.960935,2.359458,0.161902
1.592921,1.961231,2.359899,0.161861
1.592716,1.961519,2.360328,0.161822
1.592517,1.961798,2.360746,0.161783
1.592324,1.962071,2.361152,0.161745
1.592136,1.962335,2.361547,0.161709
1.591953,1.962592,2.361931,0.161673
1.591775,1.962843,2.362304,0.161639
1.591602,1.963086,2.362667,0.161605
1.591434,1.963323,2.363021,0.161573
1.591271,1.963553,2.363364,0.161541
1.591112,1.963777,2.363698,0.161510
1.590958,1.963994,2.364023,0.161480
1.590807,1.964206,2.364339,0.161451
1.590662,1.964412,2.364646,0.161423
1.590520,1.964612,2.364945,0.161395
1.590382,1.964806,2.365236,0.161368
1.590248,1.964995,2.365518,0.161342
1.590117,1.965179,2.365793,0.161317
1.589991,1.965358,2.366060,0.161292
1.589868,1.965532,2.366320,0.161268
1.589748,1.965701,2.366573,0.161245
1.589631,1.965866,2.366818,0.161222
1.589518,1.966026,2.367057,0.161201
1.589408,1.966181,2.367290,0.161179
1.589301,1.966332,2.367516,0.161158
1.589197,1.966479,2.367735,0.161138
1.589096,1.966622,2.367949,0.161119
1.588998,1.966761,2.368157,0.161099
1.588903,1.966896,2.368359,0.161081
1.588810,1.967028,2.368555,0.161063
1.588719,1.967155,2.368746,0.161045
1.588632,1.967280,2.368932,0.161028
1.588546,1.967400,2.369113,0.161012
1.588463,1.967518,2.369288,0.160996
1.588383,1.967632,2.369459,0.160980
1.588304,1.967743,2.369625,0.160965
1.588228,1.967851,2.369786,0.160950
1.588154,1.967956,2.369943,0.160935
1.588082,1.968058,2.370096,0.160921
1.588012,1.968157,2.370244,0.160908
1.587944,1.968254,2.370388,0.160895
1.587878,1.968347,2.370529,0.160882
1.587814,1.968439,2.370665,0.160869
1.587751,1.968527,2.370798,0.160857
1.587690,1.968613,2.370927,0.160845
1.587631,1.968697,2.371052,0.160834
1.587574,1.968779,2.371174,0.160823
1.587518,1.968858,2.371292,0.160812
1.587464,1.968935,2.371408,0.160801
1.587411,1.969010,2.371520,0.160791
1.587359,1.969083,2.371629,0.160781
1.587310,1.969154,2.371735,0.160771
1.587261,1.969222,2.371838,0.160762
1.587214,1.969289,2.371938,0.160753
1.587168,1.969354,2.372035,0.160744
1.587123,1.969418,2.372130,0.160735
1.587080,1.969479,2.372222,0.160727
1.587038,1.969539,2.372311,0.160719
1.586997,1.969597,2.372398,0.160711
1.586957,1.969654,2.372483,0.160703
1.586919,1.969708,2.372565,0.160695
1.586881,1.969762,2.372645,0.160688
1.586844,1.969814,2.372723,0.160681
1.586809,1.969864,2.372798,0.160674
1.586774,1.969913,2.372872,0.160667
1.586741,1.969961,2.372943,0.160661
1.586708,1.970008,2.373013,0.160654
1.586676,1.970053,2.373080,0.160648
1.586645,1.970097,2.373146,0.160642
1.586615,1.970139,2.373210,0.160636
1.586586,1.970181,2.373272,0.160631
1.586558,1.970221,2.373332,0.160625
1.586530,1.970260,2.373391,0.160620
1.586503,1.970298,2.373448,0.160615
1.586477,1.970335,2.373503,0.160610
1.586452,1.970371,2.373557,0.160605
1.586427,1.970406,2.373609,0.160600
1.586403,1.970440,2.373660,0.160595
1.586380,1.970473,2.373710,0.160591
1.586357,1.970506,2.373758,0.160586
1.586335,1.970537,2.373805,0.160582
1.586314,1.970567,2.373850,0.160578
1.586293,1.970597,2.373895,0.160574
1.586273,1.970626,2.373938,0.160570
1.586253,1.970653,2.373980,0.160566
1.586234,1.970681,2.374020,0.160562
1.586216,1.970707,2.374060,0.160559
1.586198,1.970733,2.374098,0.160555
1.586180,1.970758,2.374136,0.160552
1.586163,1.970782,2.374172,0.160548
1.586146,1.970806,2.374207,0.160545
1.586130,1.970828,2.374242,0.160542
1.586115,1.970851,2.374275,0.160539
1.586099,1.970872,2.374307,0.160536
1.586085,1.970894,2.374339,0.160533
1.586070,1.970914,2.374370,0.160530
1.586056,1.970934,2.374399,0.160528
1.586043,1.970953,2.374428,0.160525
1.586029,1.970972,2.374457,0.160522
1.586016,1.970990,2.374484,0.160520
1.586004,1.971008,2.374511,0.160517
1.585992,1.971026,2.374537,0.160515
1.585980,1.971042,2.374562,0.160513
1.585968,1.971059,2.374586,0.160511
1.585957,1.971075,2.374610,0.160508
1.585946,1.971090,2.374633,0.160506
1.585936,1.971105,2.374656,0.160504
1.585926,1.971120,2.374678,0.160502
1.585916,1.971134,2.374699,0.160500
1.585906,1.971148,2.374719,0.160498
1.585896,1.971161,2.374740,0.160497
1.585887,1.971174,2.374759,0.160495
1.585878,1.971187,2.374778,0.160493
1.585870,1.971199,2.374797,0.160491
1.585861,1.971211,2.374815,0.160490
1.585853,1.971223,2.374832,0.160488
1.585845,1.971234,2.374849,0.160487
1.585837,1.971245,2.374865,0.160485
1.585830,1.971256,2.374881,0.160484
1.585823,1.971266,2.374897,0.160482
1.585815,1.971276,2.374912,0.160481
1.585808,1.971286,2.374927,0.160479
1.585802,1.971296,2.374941,0.160478
1.585795,1.971305,2.374955,0.160477
1.585789,1.971314,2.374969,0.160476
1.585783,1.971323,2.374982,0.160474
1.585777,1.971331,2.374995,0.160473
1.585771,1.971340,2.375007,0.160472
1.585765,1.971348,2.375019,0.160471
1.585760,1.971356,2.375031,0.160470
1.585754,1.971363,2.375042,0.160469
1.585749,1.971371,2.375054,0.160468
1.585744,1.971378,2.375064,0.160467
1.585739,1.971385,2.375075,0.160466
1.585734,1.971392,2.375085,0.160465
1.585730,1.971398,2.375095,0.160464
1.585725,1.971405,2.375105,0.160463
1.585721,1.971411,2.375114,0.160462
1.585716,1.971417,2.375123,0.160462
1.585712,1.971423,2.375132,0.160461
